Nombre,Cargo,Empresa,Fecha Nombramiento,% Derechos Voto,via
"FERNANDEZ-GOULA PFAFF, LUIS",CONSEJERO,"ERCROS, S.A.",09/04/2010,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000630
"ROLDAN AGUILAR, LAUREANO",CONSEJERO,"ERCROS, S.A.",29/07/1996,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000630
"SANCHEZ MORRONDO, EDUARDO",CONSEJERO,"ERCROS, S.A.",18/06/2004,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000630
"ZABALZA MARTI, ANTONIO",PRESIDENTE,"ERCROS, S.A.",14/06/1996,0.042,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000630
"AGENJO BOSCH, RAMON",SECRETARIO CONSEJERO,SOCIEDAD ANONIMA DAMM,15/06/1990,0.018,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000820
"CARCELLER ARCE, DEMETRIO",PRESIDENTE,SOCIEDAD ANONIMA DAMM,23/06/1993,0.684,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000820
"DISA CORPORACION PETROLIFERA, S.A.",CONSEJERO,SOCIEDAD ANONIMA DAMM,21/06/1999,27.835,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000820
"DISA FINANCIACION, S.A.U.",CONSEJERO,SOCIEDAD ANONIMA DAMM,23/06/2010,0.021,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000820
"FURRIOL FORNELS, PAU",CONSEJERO,SOCIEDAD ANONIMA DAMM,30/08/1993,0.126,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000820
"HARDMAN CERES, S.L.",CONSEJERO,SOCIEDAD ANONIMA DAMM,26/02/1996,0.417,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000820
"OETKER , RUDOLF-AUGUST",CONSEJERO,SOCIEDAD ANONIMA DAMM,26/06/2001,0.002,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000820
"SCHRODER , ERNST FRIEDRICH",CONSEJERO,SOCIEDAD ANONIMA DAMM,29/06/2010,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000820
"SEEGRUND, B.V.",CONSEJERO,SOCIEDAD ANONIMA DAMM,07/07/1994,13.952,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000820
 ,ADMINISTRADOR CONCURSAL,"LA SEDA DE BARCELONA, S.A.",19/07/2013,n/d,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08010571
"GARCIA-ALBI GIL DE BIEDMA, JOSE ANTONIO",CONSEJERO,"LA SEDA DE BARCELONA, S.A.",11/04/2013,0.001,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08010571
"RIERA ANDRES, JOSE LUIS",CONSEJERO,"LA SEDA DE BARCELONA, S.A.",28/04/2010,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08010571
"ROCHA MOREIRA DA SILVA , CARLOS ANTONIO",CONSEJERO,"LA SEDA DE BARCELONA, S.A.",26/06/2013,n/d,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08010571
"SORIA SENDRA, CARLOS",CONSEJERO,"LA SEDA DE BARCELONA, S.A.",01/04/2010,0.001,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08010571
"TAVARES FERREIRA, JORGE ALEXANDRE",CONSEJERO,"LA SEDA DE BARCELONA, S.A.",26/06/2013,0.014,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08010571
"ZAFFIGNANI , EMILIO",CONSEJERO,"LA SEDA DE BARCELONA, S.A.",26/06/2013,0.002,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08010571
"ADELL RAMON, RAMON",CONSEJERO,"GAS NATURAL SDG, S.A.",18/06/2010,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08015497
"ALCANTARA-GARCIA IRAZOQUI, ENRIQUE",CONSEJERO,"GAS NATURAL SDG, S.A.",31/12/1991,0.001,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08015497
"AÑOVEROS TRIAS DE BES, XABIER",CONSEJERO,"GAS NATURAL SDG, S.A.",20/04/2012,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08015497
"BRUFAU NIUBO, ANTONIO",VICEPRESIDENTE,"GAS NATURAL SDG, S.A.",28/10/2004,0.008,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08015497
"CARCELLER ARCE, DEMETRIO",CONSEJERO,"GAS NATURAL SDG, S.A.",28/06/2007,0.003,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08015497
"COBO COBO, SANTIAGO",CONSEJERO,"GAS NATURAL SDG, S.A.",16/12/2002,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08015497
"FERNANDEZ-CUESTA LUCA DE TENA, NEMESIO",CONSEJERO,"GAS NATURAL SDG, S.A.",28/01/2011,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08015497
"GABARRO SERRA, SALVADOR",PRESIDENTE,"GAS NATURAL SDG, S.A.",28/10/2004,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08015497
"GONZALEZ MARQUEZ, FELIPE",CONSEJERO,"GAS NATURAL SDG, S.A.",17/12/2010,0.002,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08015497
"LOPEZ ACHURRA, EMILIANO",CONSEJERO,"GAS NATURAL SDG, S.A.",23/06/2003,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08015497
"LOSADA MARRODAN, CARLOS",CONSEJERO,"GAS NATURAL SDG, S.A.",16/12/2002,0.001,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08015497
"NIN GENOVA, JUAN MARIA",CONSEJERO,"GAS NATURAL SDG, S.A.",25/01/2008,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08015497
"PADROL MUNTE, HERIBERT",CONSEJERO,"GAS NATURAL SDG, S.A.",20/04/2012,n/d,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08015497
"ROSELL LASTORTRAS, JUAN",CONSEJERO,"GAS NATURAL SDG, S.A.",26/06/2009,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08015497
"SUAREZ DE LEZO MANTILLA, LUIS",CONSEJERO,"GAS NATURAL SDG, S.A.",26/02/2010,0.002,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08015497
"VALLS MASEDA, MIGUEL",CONSEJERO,"GAS NATURAL SDG, S.A.",28/01/2005,0.001,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08015497
"VILLASECA MARCO, RAFAEL",CONSEJERO DELEGADO,"GAS NATURAL SDG, S.A.",28/01/2005,0.001,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08015497
"CARTERA DE INVERSIONES C.M., S.A.",VICEPRESIDENTE 2º,"CEMENTOS MOLINS, S.A.",29/07/2009,24.015,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08017535
"DEL CAMPO RODRIGUEZ, MIGUEL",CONSEJERO,"CEMENTOS MOLINS, S.A.",21/06/2002,0.002,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08017535
"DIAZ-MORERA PUIG-SUREDA, EUSEBIO",CONSEJERO,"CEMENTOS MOLINS, S.A.",31/05/2012,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08017535
"FERNANDEZ BESCOS, FRANCISCO JAVIER",CONSEJERO,"CEMENTOS MOLINS, S.A.",31/05/2012,0.001,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08017535
"FORO FAMILIAR MOLINS, S.L.",CONSEJERO,"CEMENTOS MOLINS, S.A.",28/06/2007,0.001,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08017535
"GUTIERREZ FERNANDEZ DE LIENCRES, EMILIO",CONSEJERO,"CEMENTOS MOLINS, S.A.",21/06/2002,0.002,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08017535
"INVERSORA PEDRALBES, S.A.",CONSEJERO,"CEMENTOS MOLINS, S.A.",26/06/1996,16.880,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08017535
"MOLINS AMAT, JOAQUIN",CONSEJERO,"CEMENTOS MOLINS, S.A.",15/06/2001,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08017535
"MOLINS AMAT, JUAN",VICEPRESIDENTE-CONSEJERO DELEGADO,"CEMENTOS MOLINS, S.A.",31/03/2005,0.072,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08017535
"MOLINS LOPEZ-RODO, JOAQUIN Mª",CONSEJERO,"CEMENTOS MOLINS, S.A.",29/07/2009,0.064,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08017535
"MOLINS RIBOT, CASIMIRO",PRESIDENTE,"CEMENTOS MOLINS, S.A.",25/06/1990,0.063,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08017535
"NOUMEA, S.A.",CONSEJERO,"CEMENTOS MOLINS, S.A.",26/06/1996,32.086,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08017535
"BASAÑEZ VILLALUENGA, JAVIER",SECRETARIO CONSEJERO,"MIQUEL Y COSTAS & MIQUEL, S.A.",28/07/2008,0.084,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08020729
"CANET MARTINEZ, ANTONIO",CONSEJERO,"MIQUEL Y COSTAS & MIQUEL, S.A.",30/11/1989,1.075,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08020729
"COELLO BRUFAU, JOAQUIN",CONSEJERO,"MIQUEL Y COSTAS & MIQUEL, S.A.",26/06/2008,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08020729
"DE LA SERNA CORRAL, ALVARO",CONSEJERO,"MIQUEL Y COSTAS & MIQUEL, S.A.",28/07/2008,0.115,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08020729
"DIAZ-MORERA PUIG-SUREDA, EUSEBIO",CONSEJERO,"MIQUEL Y COSTAS & MIQUEL, S.A.",22/05/1997,0.080,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08020729
"GASOLIBA BOHM, CARLES-ALFRED",CONSEJERO,"MIQUEL Y COSTAS & MIQUEL, S.A.",28/07/1993,0.149,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08020729
"JOANFRA, S.A.",CONSEJERO,"MIQUEL Y COSTAS & MIQUEL, S.A.",25/10/1999,6.640,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08020729
"MERCADER BARATA, JORGE",CONSEJERO,"MIQUEL Y COSTAS & MIQUEL, S.A.",27/06/2012,0.166,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08020729
"MERCADER MIRO, JORGE",PRESIDENTE,"MIQUEL Y COSTAS & MIQUEL, S.A.",27/05/1992,11.094,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08020729
"AURICI DEL SUR, S.L.",VICEPRESIDENTE,"URBAS GRUPO FINANCIERO, S.A.",13/02/2013,0.123,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08049793
"CORPORATE LEISURE, S.L.",CONSEJERO,"URBAS GRUPO FINANCIERO, S.A.",29/06/2012,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08049793
"DARIVENIA MARKETS, S.L.",CONSEJERO,"URBAS GRUPO FINANCIERO, S.A.",26/06/2009,0.132,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08049793
"ESPARTEL FUND INVESTMENT, S.L.",CONSEJERO,"URBAS GRUPO FINANCIERO, S.A.",15/09/2009,0.012,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08049793
"EURO COMETA, S.L.",CONSEJERO,"URBAS GRUPO FINANCIERO, S.A.",12/05/2009,0.132,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08049793
"FOMENTO DE INVERSIONES DIRECTAS, S.L.",CONSEJERO,"URBAS GRUPO FINANCIERO, S.A.",22/04/2008,0.135,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08049793
